agentX,agentY,eDist
7,5,1.416744842
8,5,3.276504461
8,4,4.327106929
7,4,2.17140628
7,5,3.009601998
8,5,4.145054496
9,5,4.921926055
9,6,5.442263742
9,5,5.638680067
8,5,4.986004347
9,5,5.160525744
8,5,3.474638394
7,5,3.236410863
7,4,3.761568355
7,3,4.639181443
8,3,5.093315307
7,3,5.659292437
7,2,5.626638983
8,2,6.533208311
9,2,6.32118985
9,1,4.508423778
8,1,4.411910551
8,2,3.948707891
7,2,5.663067233
8,2,4.446986981
8,1,4.488042425
7,1,4.361543577
7,0,4.242396629
8,0,4.6656604
7,0,5.462777531
7,9,5.35862698
7,8,5.241763804
6,8,4.906077572
5,8,3.600182934
4,8,2.610645361
3,8,2.001005811
3,9,1.431782931
2,9,1.035459893
1,9,0.0441426
1,0,2.007404643
1,1,2.730147058
0,1,3.193990808
0,0,2.687188758
9,0,2.766949805
9,9,2.509583915
9,0,3.11734389
0,0,2.748856168
0,1,3.995780322
0,0,3.972895828
1,0,4.074173963
0,0,4.066384578
1,0,5.046597791
1,9,4.249018552
1,8,2.143225479
2,8,3.853875383
3,8,2.713994564
3,9,3.92849564
2,9,3.944930149
3,9,3.730152323
3,8,2.921560737
4,8,4.239674466
4,9,5.649885892
5,9,6.478705983
4,9,4.616540809
4,0,5.199369335
5,0,4.537386193
5,9,5.056952452
6,9,5.135560505
5,9,4.927542883
6,9,5.758931855
5,9,5.511322142
4,9,5.022257954
4,8,5.691017375
3,8,5.270044307
3,9,3.010303654
4,9,4.216390976
3,9,5.300494026
3,8,4.796676041
3,9,4.934669892
3,8,3.893672239
4,8,3.338067371
4,9,1.875232372
4,8,3.298179835
3,8,4.196042491
3,7,5.240171941
2,7,5.77777944
2,6,4.25149005
3,6,6.25409523
3,5,2.953986932
3,4,3.125612528
4,4,2.797425264
5,4,1.919550417
5,3,1.443623541
6,3,1.213293772
5,3,-0.054675134
6,3,2.405526863
7,3,4.382485813
7,4,3.548933985
7,3,3.669713583
6,3,3.102289888
7,3,4.957276442
7,2,4.080502296
7,1,3.199551853
6,1,2.260690907
6,2,1.840030906
6,1,1.851470579
7,1,3.900521443
8,1,4.964922873
8,2,4.123203717
9,2,4.938808793
0,2,4.388049389
1,2,3.415345771
1,3,3.31827789
2,3,4.065278309
2,2,3.103312039
3,2,2.997442959
3,1,4.49532152
4,1,3.842827364
4,0,5.029816033
4,9,5.891732804
4,0,5.529932796
5,0,4.273678833
6,0,3.777118729
6,9,4.360088079
6,8,4.600065571
6,7,6.275862147
6,8,4.283824897
6,9,3.344336826
5,9,2.720751628
5,0,2.079461548
5,9,2.783386756
5,0,3.245109202
6,0,2.65321206
5,0,2.633464014
4,0,3.215143859
4,1,4.953469597
5,1,4.793384132
5,0,3.580186372
5,9,2.003345713
5,8,0.160096127
4,8,0.110357228
4,9,1.292048146
4,0,3.659122026
5,0,4.109510228
5,9,2.822052874
6,9,4.803116505
6,8,5.362495544
6,9,4.836074591
5,9,4.04844996
5,8,4.309700038
5,9,4.908264881
6,9,6.014058835
6,0,3.966659123
7,0,5.208780349
8,0,4.324333293
8,1,4.488958654
7,1,4.273566162
7,0,4.535375552
7,9,3.93406757
7,8,3.71510907
8,8,1.710780167
7,8,4.139471746
8,8,2.495964811
7,8,3.880727716
6,8,4.376138251
7,8,3.690917134
7,9,3.765587683
6,9,5.180421871
5,9,3.86775835
5,8,3.988817658
5,7,5.006341608
5,6,4.727367764
5,7,3.688594721
4,7,3.645852954
3,7,1.57412364
4,7,2.847504318
4,8,3.585714842
4,7,3.172570244
4,6,1.554278316
4,5,2.691263474
5,5,2.503016617
5,6,1.974949143
4,6,1.855626236
4,5,1.325016255
5,5,1.689399956
6,5,3.076047797
7,5,4.403772836
7,4,3.858057897
7,3,5.611561999
7,4,5.868313947
7,3,6.021436982
7,2,5.195646864
7,3,5.224148422
6,3,5.939475489
6,4,5.948871311
6,3,6.375594247
7,3,6.942834141
7,4,5.497327253
8,4,4.51875669
9,4,4.709648935
0,4,5.143340274
9,4,3.134644819
0,4,5.05719401
0,5,4.967164302
1,5,5.173787131
0,5,2.930014873
0,6,4.56393378
0,5,5.899325617
9,5,3.259496392
8,5,2.300355131
9,5,4.926466072
9,4,4.100725608
9,5,3.391530892
0,5,4.131052731
9,5,3.466195353
8,5,2.263675383
7,5,2.288686391
7,6,3.092192118
6,6,2.179415366
6,5,-0.280953517
5,5,1.523781048
6,5,2.48266714
6,4,3.591144189
5,4,5.550777034
6,4,4.792526438
6,3,4.09587704
7,3,4.764347578
6,3,3.562633823
5,3,3.883738005
4,3,4.954670639
3,3,5.770278283
2,3,5.32239401
2,4,5.702208014
2,3,7.1383391
2,2,5.39501377
1,2,6.409195623
1,3,6.707135257
1,2,6.019237532
1,3,7.589803936
1,2,7.003506871
0,2,5.620552162
9,2,4.850536511
8,2,5.641755392
9,2,4.446836033
8,2,5.008202244
7,2,5.160617099
6,2,4.616004204
6,3,4.031230455
5,3,2.804863569
6,3,3.34409567
5,3,3.684341316
6,3,3.243793346
6,2,4.196675375
7,2,4.849196352
7,3,4.2062827
6,3,4.223251981
6,2,5.568659689
6,1,5.948620289
5,1,5.369052136
5,2,3.783318047
5,1,5.319983919
5,2,3.956110151
6,2,4.986885809
6,1,5.102567294
6,0,3.905236947
6,1,5.958538537
5,1,5.972424644
6,1,5.67900235
6,2,5.679937903
5,2,4.084935306
6,2,4.615673713
6,1,4.702091429
5,1,5.117976901
6,1,4.82451989
7,1,3.961602014
8,1,5.638303139
7,1,3.836834109
8,1,3.802488416
8,2,4.000205052
8,1,4.978256645
9,1,4.771747768
9,0,6.060177767
9,9,5.413465489
9,0,5.875746165
8,0,4.507668496
9,0,6.011704339
8,0,5.618961955
8,1,4.116473086
7,1,2.833868081
7,0,2.758564474
6,0,2.092177018
5,0,2.843872366
6,0,3.174713545
6,9,2.678064102
5,9,4.209295893
4,9,5.416587928
4,8,3.896158298
5,8,4.919222506
4,8,4.412754138
3,8,3.57147538
2,8,4.445680516
2,9,3.056182556
1,9,2.691723122
1,8,4.494844524
1,7,4.676520849
1,8,4.030523748
1,7,3.451464012
0,7,4.056599173
0,6,1.871260032
0,5,1.86253032
9,5,1.053794039
0,5,1.978973734
9,5,0.252125629
9,4,2.274763067
9,5,1.71979588
0,5,1.787452263
0,4,3.152885028
0,5,1.200053187
0,4,2.957338338
0,3,4.466806168
9,3,4.393552298
0,3,5.597593274
1,3,5.846105434
0,3,4.496653472
1,3,4.660051208
0,3,2.533517591
9,3,1.217557751
9,4,1.701603202
9,5,1.194385542
9,6,1.863644736
9,5,2.906753335
9,6,2.280724163
8,6,-0.262131677
8,5,1.870248635
8,6,-0.135459563
7,6,2.22803983
8,6,2.194134755
7,6,1.997180838
7,7,1.59252276
7,8,2.612269262
7,9,4.457170981
6,9,4.687251436
6,0,4.507372938
5,0,5.497169633
5,1,4.433492938
6,1,4.015897221
6,0,4.161182308
6,1,4.515609594
5,1,6.243461283
5,0,4.606417656
5,9,4.950889154
5,8,3.242525088
4,8,3.964178628
3,8,3.757509722
3,7,4.947886281
3,6,5.302052711
3,7,4.363598209
4,7,1.384552795
3,7,2.563065134
3,6,4.251616974
3,7,5.054986167
3,6,4.972774081
4,6,5.003821587
3,6,4.899378638
4,6,3.911673683
5,6,4.166729309
4,6,4.871275071
3,6,5.423450129
3,5,5.861904978
3,4,5.95854273
3,3,5.891699392
3,2,5.29960906
3,3,6.244348501
2,3,5.865428234
2,4,3.758185417
1,4,5.603068514
0,4,6.775759395
0,5,6.905795033
9,5,5.949500024
9,6,6.273662599
9,7,4.614896769
8,7,4.467573003
8,6,4.998051497
7,6,5.598889701
7,5,3.897931202
7,4,1.847644887
6,4,1.073147282
5,4,3.341766331
5,5,3.055748753
4,5,4.226139719
5,5,4.401846837
5,4,2.936639272
5,5,4.287679946
5,4,4.187889676
5,5,6.175169813
4,5,5.394579409
3,5,6.315296973
4,5,5.250058586
4,4,4.10690683
3,4,5.480743132
3,3,5.890202674
2,3,7.095921082
1,3,6.254963537
2,3,7.112203382
1,3,5.608614328
1,2,5.852085204
2,2,4.939500245
2,3,5.871640704
3,3,5.575250143
2,3,5.424737336
3,3,7.26590806
2,3,5.74823529
2,4,5.599035552
1,4,5.841593117
0,4,4.230144184
0,3,6.240187059
0,2,5.74580919
1,2,6.728377584
2,2,5.466996367
1,2,7.021636826
1,3,5.752437899
0,3,5.752178564
1,3,7.097637815
1,4,7.234145733
2,4,5.477781199
2,5,5.540966343
2,4,5.580175647
2,3,7.699303163
2,4,5.744503672
1,4,5.791830607
2,4,4.239625758
2,3,5.149145549
2,4,4.493038994
1,4,5.2576683
1,5,3.104848039
1,4,3.384656801
2,4,4.238231942
1,4,4.074525838
1,3,4.556011709
1,2,4.229239164
1,3,5.422090627
2,3,5.381248593
2,4,2.982588113
2,5,2.638443193
1,5,2.174103653
0,5,3.10969714
9,5,2.949597415
9,4,4.007727614
9,3,4.602116954
9,4,2.752440656
9,5,3.018692945
9,4,3.993746199
9,3,4.350391294
8,3,4.355429286
9,3,5.846394414
9,4,4.453685599
9,5,3.094081067
8,5,2.861104085
8,4,3.287369384
8,3,4.25667246
8,2,5.538591993
7,2,4.355675775
7,1,5.974058324
7,0,6.106450206
8,0,5.546639626
8,1,7.221812236
7,1,5.269598738
8,1,5.887396259
8,0,4.25150553
8,1,4.123139208
7,1,5.746940331
7,2,6.387011709
7,3,5.712934711
7,2,5.624514329
8,2,4.096272447
9,2,3.038422997
9,3,2.978681453
9,2,1.720174092
0,2,2.510100344
1,2,2.025124706
1,1,1.650211689
1,0,1.848083637
1,1,2.309404118
0,1,4.677774439
0,2,4.70066332
1,2,3.088919962
2,2,0.633905057
1,2,1.274264869
1,3,2.916523606
1,4,3.160078259
2,4,3.594694506
1,4,4.168338512
2,4,3.972432083
3,4,2.863036245
2,4,4.679291462
2,5,4.243337333
3,5,4.95874731
2,5,3.607786159
3,5,4.279545049
3,6,5.017949142
3,7,5.6064038
3,6,4.666890675
3,5,2.855794599
4,5,4.363384298
4,4,4.274570869
5,4,3.813962808
6,4,3.160302969
6,5,4.852187178
5,5,4.954912846
5,6,2.429713685
5,5,3.320319269
5,4,5.32181792
5,3,5.416881731
6,3,3.737101467
6,4,4.261884091
6,3,5.717534694
5,3,4.251607364
6,3,5.69276104
6,4,4.165809291
5,4,3.080866154
5,3,3.774238771
5,2,4.875150239
5,3,3.474362184
4,3,4.283408494
5,3,4.465677038
6,3,4.18482863
6,2,6.578838378
7,2,5.495855383
8,2,6.163188687
8,1,4.656302095
7,1,6.084217197
6,1,4.402595378
6,2,5.826129975
5,2,5.96966722
4,2,4.107179792
5,2,5.71516714
6,2,6.11462972
5,2,5.347265663
5,1,5.197495331
6,1,5.489639755
6,0,4.511713264
6,9,2.393836852
6,8,2.452326263
6,9,1.575775655
5,9,2.691983527
5,8,3.050720525
5,7,4.101924398
5,6,5.981100434
5,7,4.117082573
5,8,4.098511898
5,7,5.559825386
5,8,4.430126105
5,9,3.211239144
5,8,4.412490478
4,8,4.079827658
5,8,4.17946476
5,9,4.345532441
5,8,5.983204162
6,8,6.058651123
7,8,5.217747425
7,9,5.261624435
8,9,4.725023101
9,9,5.787894132
9,0,5.933805116
9,1,4.285211291
9,0,5.380460062
9,1,6.168371914
9,2,5.485204718
0,2,4.432912911
1,2,4.775965031
2,2,3.873886042
3,2,4.77307579
3,1,4.875611438
2,1,4.980872787
3,1,3.598425823
3,2,3.530254693
3,1,3.766172951
4,1,4.644398072
3,1,4.586708299
3,2,3.410934487
2,2,1.21692582
3,2,1.632603738
2,2,1.34034408
2,1,1.741077013
2,2,1.557666194
3,2,2.84896302
3,3,2.185268824
4,3,3.900094716
3,3,2.76596186
3,2,3.253843107
3,3,3.109588167
2,3,2.645666677
1,3,2.034717286
2,3,1.622423607
2,4,-0.119263615
3,4,1.560630587
4,4,0.809013706
5,4,2.246316999
6,4,3.273641441
6,5,2.449551821
6,4,2.598913492
6,3,1.173193633
6,4,1.696184719
6,3,1.522051085
7,3,3.111533881
7,2,1.175147853
7,1,1.524641958
6,1,0.464290736
5,1,1.617248799
6,1,0.420652418
5,1,1.483972327
5,0,0.022955874
4,0,1.72108785
4,1,1.70376365
3,1,2.088580041
4,1,1.584444995
3,1,1.708300205
3,2,0.95353532
4,2,-0.254163586
3,2,2.213256856
3,1,1.378619003
3,2,1.123779347
3,1,0.658585244
3,2,1.733974617
4,2,1.123973826
4,1,0.481872798
4,2,1.326609218
3,2,1.065827651
3,1,-0.195202055
3,2,1.673261805
2,2,1.158044858
1,2,1.567657428
2,2,3.074284014
2,1,2.25097281
2,2,1.771569844
2,1,0.028816747
1,1,1.047384247
1,2,1.625503834
1,1,2.442413643
2,1,3.253480161
3,1,2.652681995
2,1,4.163589824
3,1,3.409324499
3,0,4.765015042
3,1,4.178781481
4,1,2.702535788
5,1,4.999064652
5,2,2.930497782
5,1,4.284550662
6,1,5.500358683
6,2,5.005073525
6,1,4.344075914
6,2,3.624757681
7,2,4.289885488
7,1,4.861476167
7,2,3.582972493
6,2,3.715200642
6,3,3.221745193
6,4,3.092744424
5,4,2.649716053
4,4,3.625515758
5,4,3.2229791
4,4,1.266262289
3,4,0.210848266
4,4,1.409122357
4,5,-0.757479793
3,5,-0.386816863
4,5,2.098140696
5,5,3.06336774
5,4,2.084780679
5,3,1.840902034
6,3,3.909443399
6,2,4.201795191
6,3,4.437223936
5,3,4.135204437
5,2,5.124893793
5,1,6.995016213
4,1,6.579812639
3,1,5.368713677
3,2,4.748232921
4,2,4.434247664
4,3,3.088660499
4,2,4.571430075
4,1,6.210131156
4,0,4.909166261
3,0,5.03092101
3,1,4.4097137
3,2,2.966879746
4,2,3.102169885
4,3,1.587414229
5,3,1.73549724
6,3,3.578448681
5,3,2.994396595
5,2,3.463216225
5,3,4.23179334
5,2,5.864594808
4,2,5.855677304
5,2,6.029170825
4,2,4.657765356
4,3,3.357793543
3,3,2.74533125
2,3,1.155428366
2,2,2.173999324
2,3,2.187983113
2,4,1.394816944
2,5,1.773481425
2,6,3.054806479
1,6,2.992614542
0,6,2.958621878
1,6,3.292602484
1,7,4.107490862
1,8,6.42632672
1,7,5.701736388
1,8,5.549829011
0,8,4.935888071
1,8,5.859043336
1,7,5.48380789
2,7,5.329540744
2,8,5.734092336
2,9,5.321321515
3,9,6.114790876
4,9,4.997287495
4,8,3.369883017
4,9,4.013225365
4,0,4.415951781
3,0,5.305718321
3,9,5.867603608
4,9,4.459314417
3,9,3.492195631
4,9,2.992569254
3,9,2.902442941
3,8,3.463045504
3,9,3.603083849
2,9,4.655818919
3,9,4.017520223
3,0,3.870191734
3,9,4.509645088
3,0,4.02391789
3,9,4.379633049
4,9,3.337384615
4,8,1.624686801
4,9,2.03784546
3,9,3.25358423
3,0,2.754221569
2,0,2.815098699
1,0,4.501619354
2,0,3.448929784
3,0,2.025226565
3,9,1.734683639
3,0,3.097018839
2,0,4.703817927
2,1,5.330261761
1,1,5.78674701
2,1,4.887445064
2,2,5.124965665
2,3,5.841721987
3,3,4.461942803
3,4,5.035711674
3,3,3.771278432
2,3,4.587513318
2,4,4.968571934
1,4,4.39180735
1,3,3.78364928
0,3,5.021453352
0,4,4.03993468
0,5,5.232464495
0,4,4.731716859
0,3,6.444031766
0,2,6.193963521
0,3,5.28256378
9,3,6.076123274
9,4,5.458841951
0,4,4.643253162
0,3,4.658670954
0,2,5.838094178
1,2,5.569424136
0,2,5.898740014
0,3,5.95082562
0,4,5.868760485
0,3,6.814562485
1,3,5.811352125
0,3,5.510242339
9,3,7.728241549
9,2,5.09944896
